ngramme	nfeatures	precision	test_time
1	3000	61.77	1.01
1	6000	61.60	1.01
1	9000	61.05	1.00
1	12000	60.99	1.06
1	15000	60.99	1.06
1	18000	60.99	1.03
1	21000	60.99	1.01
1	24000	60.99	1.01
1	27000	60.99	1.02
1	30000	60.99	1.09
2	3000	61.99	1.92
2	6000	62.98	1.90
2	9000	62.82	2.08
2	12000	62.98	1.85
2	15000	62.71	1.83
2	18000	62.82	1.86
2	21000	62.93	1.91
2	24000	62.93	1.88
2	27000	62.54	1.86
2	30000	62.71	1.85
3	3000	61.77	2.64
3	6000	62.38	2.63
3	9000	62.93	2.68
3	12000	62.87	2.72
3	15000	62.87	2.80
3	18000	62.65	2.68
3	21000	62.71	2.76
3	24000	62.60	2.67
3	27000	62.54	2.69
3	30000	62.32	2.66
