ngramme	nfeatures	precision	test_time
1	3000	62.10	1.04
1	6000	61.88	1.09
1	9000	61.33	1.08
1	12000	61.05	1.09
1	15000	60.94	1.18
1	18000	60.94	1.06
1	21000	60.94	1.11
1	24000	60.94	1.18
1	27000	60.94	1.05
1	30000	60.94	1.03
2	3000	62.10	1.91
2	6000	62.98	1.96
2	9000	63.15	1.98
2	12000	63.04	1.96
2	15000	63.43	1.94
2	18000	62.87	1.99
2	21000	62.60	2.01
2	24000	62.60	1.95
2	27000	62.32	1.99
2	30000	62.04	2.02
3	3000	61.82	2.84
3	6000	62.54	2.74
3	9000	62.76	2.94
3	12000	63.04	2.82
3	15000	63.09	2.76
3	18000	63.26	2.75
3	21000	62.98	2.81
3	24000	62.43	2.80
3	27000	62.43	2.79
3	30000	62.49	2.85
